file,n_vars,n_clauses,error,LCG_orc_mean,LCG_orc_std,LCG_orc_min,LCG_orc_max,LCG_orc_median,LCG_bfc_mean,LCG_bfc_std,LCG_bfc_min,LCG_bfc_max,LCG_bfc_median,LCG_n_nodes,LCG_n_edges,LCG_mean_edge_weight,VCG_orc_mean,VCG_orc_std,VCG_orc_min,VCG_orc_max,VCG_orc_median,VCG_bfc_mean,VCG_bfc_std,VCG_bfc_min,VCG_bfc_max,VCG_bfc_median,VCG_n_nodes,VCG_n_edges,VCG_mean_edge_weight,LCG_BRIDGE_orc_mean,LCG_BRIDGE_orc_std,LCG_BRIDGE_orc_min,LCG_BRIDGE_orc_max,LCG_BRIDGE_orc_median,LCG_BRIDGE_bfc_mean,LCG_BRIDGE_bfc_std,LCG_BRIDGE_bfc_min,LCG_BRIDGE_bfc_max,LCG_BRIDGE_bfc_median,LCG_BRIDGE_n_nodes,LCG_BRIDGE_n_edges,LCG_BRIDGE_mean_edge_weight,LCG_COOC_orc_mean,LCG_COOC_orc_std,LCG_COOC_orc_min,LCG_COOC_orc_max,LCG_COOC_orc_median,LCG_COOC_bfc_mean,LCG_COOC_bfc_std,LCG_COOC_bfc_min,LCG_COOC_bfc_max,LCG_COOC_bfc_median,LCG_COOC_n_nodes,LCG_COOC_n_edges,LCG_COOC_mean_edge_weight,WLIG_orc_mean,WLIG_orc_std,WLIG_orc_min,WLIG_orc_max,WLIG_orc_median,WLIG_bfc_mean,WLIG_bfc_std,WLIG_bfc_min,WLIG_bfc_max,WLIG_bfc_median,WLIG_n_nodes,WLIG_n_edges,WLIG_mean_edge_weight,LCG_SPLIT_s0_orc_mean,LCG_SPLIT_s0_orc_std,LCG_SPLIT_s0_orc_min,LCG_SPLIT_s0_orc_max,LCG_SPLIT_s0_orc_median,LCG_SPLIT_s0_bfc_mean,LCG_SPLIT_s0_bfc_std,LCG_SPLIT_s0_bfc_min,LCG_SPLIT_s0_bfc_max,LCG_SPLIT_s0_bfc_median,LCG_SPLIT_s0_n_nodes,LCG_SPLIT_s0_n_edges,LCG_SPLIT_s0_mean_edge_weight,LCG_SPLIT_s5_orc_mean,LCG_SPLIT_s5_orc_std,LCG_SPLIT_s5_orc_min,LCG_SPLIT_s5_orc_max,LCG_SPLIT_s5_orc_median,LCG_SPLIT_s5_bfc_mean,LCG_SPLIT_s5_bfc_std,LCG_SPLIT_s5_bfc_min,LCG_SPLIT_s5_bfc_max,LCG_SPLIT_s5_bfc_median,LCG_SPLIT_s5_n_nodes,LCG_SPLIT_s5_n_edges,LCG_SPLIT_s5_mean_edge_weight,LCG_SPLIT_s10_orc_mean,LCG_SPLIT_s10_orc_std,LCG_SPLIT_s10_orc_min,LCG_SPLIT_s10_orc_max,LCG_SPLIT_s10_orc_median,LCG_SPLIT_s10_bfc_mean,LCG_SPLIT_s10_bfc_std,LCG_SPLIT_s10_bfc_min,LCG_SPLIT_s10_bfc_max,LCG_SPLIT_s10_bfc_median,LCG_SPLIT_s10_n_nodes,LCG_SPLIT_s10_n_edges,LCG_SPLIT_s10_mean_edge_weight,LCG_SPLIT_s20_orc_mean,LCG_SPLIT_s20_orc_std,LCG_SPLIT_s20_orc_min,LCG_SPLIT_s20_orc_max,LCG_SPLIT_s20_orc_median,LCG_SPLIT_s20_bfc_mean,LCG_SPLIT_s20_bfc_std,LCG_SPLIT_s20_bfc_min,LCG_SPLIT_s20_bfc_max,LCG_SPLIT_s20_bfc_median,LCG_SPLIT_s20_n_nodes,LCG_SPLIT_s20_n_edges,LCG_SPLIT_s20_mean_edge_weight
00004.cnf,18,85,,-0.3908523100830793,0.10818508945808698,-0.675,-0.08333333333333326,-0.38888888888888884,-0.9452779515966329,0.21815686605118578,-1.6111111111111112,-0.33333333333333337,-0.9333333333333333,121,273,,-0.39300241604648806,0.09724718220396143,-0.6111111111111112,-0.04166666666666674,-0.3939393939393938,-0.9636407661505549,0.10854310874340624,-1.2222222222222223,-0.6333333333333333,-0.9696969696969697,103,255,,-0.44386568097064705,0.12647573561715592,-0.8181818181818179,-0.08333333333333326,-0.4166666666666665,-0.9699822813253965,0.2803328756102823,-1.6363636363636362,-0.33333333333333337,-0.8999999999999999,206,443,,-0.0418810869258615,0.07271014335529956,-0.33333333333333237,0.17500000000000016,-0.04022988505747116,-0.5803690669642861,0.29071215003413725,-1.5555555555555556,0.033333333333333326,-0.45977011494252873,121,478,,0.17549619139827177,0.0583359888994715,-0.0470588235294116,0.3015873015873016,0.1785714285714286,-0.3853366639338663,0.3121227007952118,-1.2187499999999998,0.5192307692307693,-0.3999999999999999,36,205,1.2439024390243902,-0.3908523100830793,0.10818508945808698,-0.675,-0.08333333333333326,-0.38888888888888884,-0.9452779515966329,0.21815686605118578,-1.6111111111111112,-0.33333333333333337,-0.9333333333333333,121,273,,-0.37616350920806363,0.15381730037658117,-0.7321428571428572,0.25,-0.38888888888888884,-0.9206974268855459,0.25866855155303214,-1.6111111111111112,0.0,-0.9333333333333333,136,303,,-0.3658437658437659,0.18197323473307245,-0.7333333333333332,0.25,-0.38888888888888906,-0.9051173467840135,0.28704074785974776,-1.6349206349206349,0.0,-0.9333333333333333,151,333,,-0.3515951782173156,0.21625605363403116,-0.7333333333333332,0.25,-0.4166666666666665,-0.8873025158330503,0.318734029811835,-1.6666666666666665,0.0,-0.9333333333333333,181,393,
00007.cnf,26,117,,-0.4500745275944215,0.10025782385006873,-0.7142857142857142,1.1102230246251565e-16,-0.46666666666666656,-1.0080106858953015,0.19420549079756316,-1.646153846153846,-1.1102230246251565e-16,-1.0256410256410255,169,377,,-0.4604306759905975,0.08611036319449442,-0.6190476190476186,-0.16666666666666652,-0.4561403508771935,-0.9801987066788871,0.1383522184364415,-1.2380952380952381,-0.33333333333333337,-1.0,143,351,,-0.4727424187370462,0.13561564783966998,-0.8295454545454541,1.1102230246251565e-16,-0.45454545454545436,-1.0061196009845763,0.2968787105373544,-1.6590909090909092,-1.1102230246251565e-16,-0.9696969696969697,286,611,,-0.0847916762772701,0.07451627391527067,-0.3333333333333328,0.25,-0.08333333333333348,-0.6540586445748429,0.34292728866901595,-1.592731829573935,0.33333333333333326,-0.47916666666666685,169,685,,0.11140321424657348,0.06676545482839459,-0.1499999999999999,0.24999999999999978,0.11666666666666686,-0.5853999593530322,0.2892954367115345,-1.2833333333333332,0.2986425339366515,-0.5849358974358974,52,308,1.1396103896103895,-0.4500745275944215,0.10025782385006873,-0.7142857142857142,1.1102230246251565e-16,-0.46666666666666656,-1.0080106858953015,0.19420549079756316,-1.646153846153846,-1.1102230246251565e-16,-1.0256410256410255,169,377,,-0.4386906432360978,0.1439369458191763,-0.7214285714285718,0.25,-0.46666666666666656,-0.9882344723253815,0.23818077640669783,-1.657142857142857,0.0,-1.0256410256410255,184,407,,-0.4266271538246232,0.17266348675719903,-0.7321428571428572,0.25,-0.4666666666666668,-0.9702338630693726,0.2678499942652004,-1.657142857142857,0.0,-1.0208333333333335,199,437,,-0.4090434109782397,0.21076521789375305,-0.75,0.25,-0.47222222222222254,-0.944960294056263,0.30756920420568096,-1.657142857142857,0.0,-1.0208333333333335,229,497,
00008.cnf,15,73,,-0.38139213587931536,0.10298916935165542,-0.6388888888888891,0.033333333333333215,-0.3809523809523808,-0.9556129530488506,0.21303716199678252,-1.6794871794871795,-0.1333333333333333,-0.9333333333333333,103,234,,-0.3501637662237459,0.10855347240702223,-0.5952380952380951,0.02564102564102566,-0.36231884057970976,-0.9786527007210494,0.11424661454765811,-1.1904761904761905,-0.6666666666666667,-0.9895833333333335,88,219,,-0.4384677706872998,0.11887240212615922,-0.7596153846153846,-0.11111111111111116,-0.42307692307692313,-0.9761142912181694,0.27933000798160107,-1.6794871794871795,-0.3999999999999999,-0.8973684210526316,176,380,,-0.01412356346404906,0.05992149959332837,-0.21666666666666612,0.18181818181818188,-0.014652014652014378,-0.5494753225905461,0.2449788332162067,-1.2847222222222223,-0.06666666666666665,-0.44444444444444453,103,409,,0.22335068106496683,0.04966112462296003,0.10256410256410264,0.346638655462185,0.22077922077922085,-0.2986175338511473,0.28004123199197056,-1.0714285714285714,0.3857142857142856,-0.2952380952380953,30,175,1.2514285714285713,-0.38139213587931536,0.10298916935165542,-0.6388888888888891,0.033333333333333215,-0.3809523809523808,-0.9556129530488506,0.21303716199678252,-1.6794871794871795,-0.1333333333333333,-0.9333333333333333,103,234,,-0.3679870266517993,0.152502955616684,-0.6515151515151514,0.25,-0.38888888888888906,-0.9336787791333248,0.2562761159026333,-1.7142857142857144,0.0,-0.9444444444444444,118,264,,-0.3579880814574692,0.18391267476780485,-0.6500000000000001,0.25,-0.3914141414141413,-0.9168073045624066,0.2873162431524402,-1.7142857142857144,0.0,-0.9545454545454545,133,294,,-0.3413038677931499,0.22112635234007602,-0.6666666666666665,0.25,-0.4063375350140056,-0.8974028560892967,0.32911391927455497,-1.723809523809524,0.0,-0.9901960784313726,163,354,
00011.cnf,30,133,,-0.4588322451958815,0.10077552722534132,-0.7250000000000001,-0.16666666666666652,-0.466666666666667,-1.0235814690360148,0.18231129856226747,-1.6181818181818182,-0.3333333333333335,-1.0476190476190477,193,429,,-0.47684081800914135,0.0851631015252451,-0.6166666666666669,-0.1282051282051282,-0.49019607843137236,-1.0107427835115863,0.1261164943545918,-1.2333333333333334,-0.4761904761904763,-1.0256410256410255,163,399,,-0.4795794273671971,0.13670685372237248,-0.8166666666666669,-0.16666666666666652,-0.46666666666666634,-1.015483094044245,0.29807558730048933,-1.7,-0.3333333333333335,-1.0476190476190477,326,695,,-0.09932720499696408,0.07773387961670224,-0.39236111111111094,0.16666666666666674,-0.10526315789473695,-0.6862409629522505,0.364696476211752,-1.5361552028218695,0.19047619047619035,-0.5166666666666665,193,791,,0.08804073074176605,0.06635455538369511,-0.1607142857142858,0.28125,0.08807369101486756,-0.6799204245220049,0.2896010237435988,-1.393939393939394,0.3666666666666668,-0.7003787878787879,60,362,1.1022099447513811,-0.4588322451958815,0.10077552722534132,-0.7250000000000001,-0.16666666666666652,-0.466666666666667,-1.0235814690360148,0.18231129856226747,-1.6181818181818182,-0.3333333333333335,-1.0476190476190477,193,429,,-0.4444506745977334,0.14363273164012794,-0.7250000000000001,0.25,-0.466666666666667,-1.0035863978674437,0.22914566722444496,-1.6181818181818182,0.0,-1.0476190476190477,208,459,,-0.43409183171884597,0.17104462722630617,-0.7388888888888887,0.25,-0.4772727272727273,-0.9869576807007181,0.2612488726755219,-1.6273291925465838,0.0,-1.0256410256410255,223,489,,-0.4167997704318683,0.20745703781575478,-0.7333333333333332,0.25,-0.47916666666666674,-0.9609497547853325,0.30252759942459556,-1.646153846153846,0.0,-1.0256410256410255,253,549,
00015.cnf,27,121,,-0.4333852721352721,0.10859532136400218,-0.7222222222222223,0.11111111111111094,-0.45833333333333326,-0.9994724933186474,0.20525551335644174,-1.6363636363636362,0.0,-1.0,175,390,,-0.442507490093397,0.09847438461642476,-0.6166666666666667,-0.08333333333333348,-0.45614035087719307,-0.9792565923274927,0.1309076883963558,-1.2333333333333334,-0.4583333333333335,-1.0,148,363,,-0.4651674406816811,0.13524366004441982,-0.8333333333333326,0.11111111111111094,-0.4393939393939392,-1.001831106657056,0.2984810475819613,-1.6666666666666667,0.0,-0.9333333333333333,296,632,,-0.07999779728022055,0.079285898764521,-0.38624338624338606,0.45833333333333337,-0.08333333333333304,-0.6320262003617863,0.32773198828922806,-1.492063492063492,0.8333333333333331,-0.48106060606060624,175,708,,0.11193856315358744,0.06925924953557183,-0.04999999999999982,0.3749999999999999,0.11220238095238105,-0.5510241638237761,0.3087796548353201,-1.3090225563909774,0.4615384615384617,-0.5877990430622009,54,318,1.1415094339622642,-0.4333852721352721,0.10859532136400218,-0.7222222222222223,0.11111111111111094,-0.45833333333333326,-0.9994724933186474,0.20525551335644174,-1.6363636363636362,0.0,-1.0,175,390,,-0.42168444650587505,0.1469810193178932,-0.733333333333333,0.25,-0.45833333333333326,-0.9811269946984233,0.24167117939151075,-1.6363636363636362,0.0,-1.0,190,420,,-0.4113997607330941,0.17236725728585162,-0.7000000000000002,0.25,-0.45238095238095244,-0.9675188946855614,0.2687674421535644,-1.6363636363636362,0.0,-1.0,205,450,,-0.39750626752561735,0.2080625892269399,-0.7090909090909094,0.25,-0.4583333333333335,-0.946388695516359,0.3061450921613936,-1.672514619883041,0.0,-1.0,235,510,
00018.cnf,33,146,,-0.4591319155013422,0.09694894456539922,-0.7596153846153844,-0.023809523809523725,-0.4791666666666665,-1.020153277955826,0.1833443638768896,-1.6515151515151514,-0.3333333333333335,-1.0476190476190477,212,471,,-0.48102622159622027,0.08806977638057314,-0.6190476190476188,-0.09523809523809512,-0.4901960784313726,-1.0033439985294657,0.13380623029646646,-1.2380952380952381,-0.3333333333333335,-1.0208333333333335,179,438,,-0.4791857225343464,0.13169542965052797,-0.8035714285714288,-0.023809523809523725,-0.44999999999999996,-1.0147010445503237,0.2901615408520582,-1.6515151515151514,-0.3333333333333335,-1.0,358,763,,-0.11425333444298263,0.07765094089553547,-0.32467532467532445,0.16666666666666652,-0.1236559139784944,-0.6922109810957698,0.36842580570314176,-1.4974137931034484,0.19047619047619035,-0.4999999999999999,212,868,,0.0601301031802432,0.057823992664302465,-0.11111111111111116,0.2499999999999999,0.06699346405228768,-0.7258290164253677,0.27002315729088516,-1.3394062078272604,0.33333333333333326,-0.7415329768270946,66,397,1.1032745591939546,-0.4591319155013422,0.09694894456539922,-0.7596153846153844,-0.023809523809523725,-0.4791666666666665,-1.020153277955826,0.1833443638768896,-1.6515151515151514,-0.3333333333333335,-1.0476190476190477,212,471,,-0.4498342204771451,0.13700392913731607,-0.7596153846153844,0.25,-0.4791666666666665,-1.0034441964870582,0.2219318689116277,-1.6666666666666667,0.0,-1.0476190476190477,227,501,,-0.43811750605535915,0.1637971866565058,-0.7596153846153844,0.25,-0.4791666666666663,-0.9864123635310078,0.25354886731805976,-1.6666666666666667,0.0,-1.0384615384615385,242,531,,-0.4202105142460472,0.19954255663768308,-0.7916666666666667,0.25,-0.4666666666666668,-0.9640845805820425,0.293495645278783,-1.7032967032967032,0.0,-1.0256410256410255,272,591,
00029.cnf,23,105,,-0.42477010169317864,0.10415169728394225,-0.6833333333333336,-0.16666666666666652,-0.4444444444444444,-0.9955157022464715,0.20012521225616808,-1.6444444444444444,-0.33333333333333337,-1.0,151,338,,-0.43037511197175055,0.09626849418127585,-0.6212121212121209,-0.16666666666666652,-0.4313725490196081,-0.987534402649949,0.12178114729690181,-1.2424242424242424,-0.4761904761904763,-1.0000000000000002,128,315,,-0.459141598466416,0.13118715477308307,-0.8136645962732922,-0.16666666666666652,-0.44999999999999996,-0.9994685515214713,0.2844829956214159,-1.6444444444444444,-0.4583333333333335,-1.0,256,548,,-0.07175083002862188,0.06852318778630755,-0.3083333333333329,0.19047619047619047,-0.07407407407407396,-0.6314189891535402,0.3203551860382186,-1.4666666666666666,0.19047619047619035,-0.45238095238095244,151,611,,0.13807663064565223,0.06220796667827372,-0.07499999999999996,0.3025641025641027,0.14166666666666672,-0.5512697796715604,0.2928603670414577,-1.1677489177489178,0.5692307692307691,-0.5673076923076923,46,273,1.1538461538461537,-0.42477010169317864,0.10415169728394225,-0.6833333333333336,-0.16666666666666652,-0.4444444444444444,-0.9955157022464715,0.20012521225616808,-1.6444444444444444,-0.33333333333333337,-1.0,151,338,,-0.41309102280569676,0.14701568896205627,-0.6833333333333336,0.25,-0.4444444444444444,-0.9769405036388731,0.2418281729473411,-1.6666666666666667,0.0,-1.0,166,368,,-0.4008694098005788,0.17561720991603114,-0.6833333333333336,0.25,-0.4444444444444444,-0.9632385316496663,0.27208692813496854,-1.672514619883041,0.0,-1.0,181,398,,-0.38567711258117116,0.21055964310544562,-0.6833333333333336,0.25,-0.44444444444444464,-0.9385925833877286,0.30878275185172466,-1.6777777777777778,0.0,-1.0,211,458,
00034.cnf,27,121,,-0.4439411514411515,0.10232540751776792,-0.7333333333333332,0.0,-0.45833333333333304,-1.0048508898508899,0.19749249729157684,-1.6333333333333333,-0.33333333333333337,-1.0476190476190477,175,390,,-0.4590460188904525,0.09261385902725926,-0.6166666666666667,-0.16666666666666652,-0.46666666666666656,-1.00594805307676,0.11668485558152349,-1.2333333333333334,-0.6333333333333333,-1.0256410256410255,148,363,,-0.47068350837296535,0.13371071164726736,-0.81140350877193,0.0,-0.4473684210526321,-1.0075863986298699,0.2931668950016485,-1.657142857142857,-0.3333333333333335,-1.0,296,632,,-0.09127387202064588,0.07759832578322522,-0.4292929292929293,0.45833333333333337,-0.09420289855072461,-0.6619737807473269,0.3516674424624681,-1.6095238095238096,0.8333333333333331,-0.4731182795698924,175,711,,0.10523044062727527,0.0703997553494059,-0.14583333333333326,0.33333333333333337,0.10714285714285732,-0.6269082817256596,0.31199371016398936,-1.3214285714285716,0.4999999999999998,-0.6470588235294119,54,321,1.1308411214953271,-0.4439411514411515,0.10232540751776792,-0.7333333333333332,0.0,-0.45833333333333304,-1.0048508898508899,0.19749249729157684,-1.6333333333333333,-0.33333333333333337,-1.0476190476190477,175,390,,-0.43283369078011935,0.14460511535439344,-0.7571428571428573,0.25,-0.46666666666666656,-0.9863899724614011,0.23698937951642796,-1.6388888888888888,0.0,-1.0256410256410255,190,420,,-0.4203940935607602,0.17233800937435012,-0.7662337662337657,0.25,-0.46666666666666656,-0.9683942353942354,0.2695377700513504,-1.675,0.0,-1.0454545454545454,205,450,,-0.4007807162451125,0.2077753746433846,-0.7840909090909087,0.25,-0.46666666666666656,-0.9468617363315506,0.3091885637874234,-1.6888888888888889,0.0,-1.0,235,510,
00036.cnf,18,85,,-0.40089150267721696,0.10195201089285605,-0.669642857142857,-0.08333333333333326,-0.4166666666666665,-0.9791506112934685,0.20884762000652632,-1.6181818181818182,-0.33333333333333337,-1.0,121,273,,-0.4020368750818578,0.095413531793003,-0.6078431372549018,-0.06666666666666665,-0.4166666666666665,-0.9606588635957148,0.11682344337093807,-1.215686274509804,-0.5333333333333333,-0.9895833333333335,103,255,,-0.44868973514571703,0.12124314251741491,-0.8090909090909086,-0.08333333333333326,-0.43333333333333335,-0.9911849875732495,0.2823383617476401,-1.6363636363636362,-0.3333333333333335,-0.9696969696969697,206,443,,-0.028355526173722157,0.06987023382663386,-0.33333333333333326,0.41666666666666674,-0.02597402597402576,-0.5653243315417547,0.26715315187784094,-1.4671052631578947,0.8333333333333331,-0.4731182795698924,121,485,,0.19430937210834556,0.06468247373198815,1.1102230246251565e-16,0.32932692307692313,0.1999999999999998,-0.34356534167265296,0.32112456149868246,-1.1298076923076925,0.44615384615384596,-0.3535714285714287,36,212,1.2028301886792452,-0.40089150267721696,0.10195201089285605,-0.669642857142857,-0.08333333333333326,-0.4166666666666665,-0.9791506112934685,0.20884762000652632,-1.6181818181818182,-0.33333333333333337,-1.0,121,273,,-0.3854962877240105,0.1520137027814996,-0.675,0.25,-0.4166666666666665,-0.9543331714123794,0.2583545963128451,-1.6181818181818182,0.0,-0.9761904761904762,136,303,,-0.37338503106046966,0.18036959818298454,-0.6846153846153846,0.25,-0.4166666666666665,-0.9478383219611292,0.28798211888211706,-1.6363636363636362,0.0,-1.0,151,333,,-0.35446096580086134,0.21510961095562275,-0.7083333333333328,0.25,-0.41666666666666696,-0.9193575800194925,0.3305418743737056,-1.712820512820513,0.0,-1.0,181,393,
00039.cnf,26,117,,-0.4468189524887137,0.10243740757402613,-0.7321428571428572,0.033333333333333215,-0.46666666666666656,-1.0145717383117914,0.19156845457765928,-1.6643356643356644,-0.33333333333333326,-1.0476190476190477,169,377,,-0.450464665308808,0.09571603466795249,-0.6212121212121209,-0.11111111111111116,-0.46666666666666656,-0.9759628880606759,0.12478805540205107,-1.2424242424242424,-0.44444444444444453,-0.9761904761904762,143,351,,-0.4739341423261227,0.13182502698881188,-0.8166666666666669,-0.16666666666666674,-0.4523809523809521,-1.0108543983748566,0.29602018737015023,-1.6643356643356644,-0.4761904761904763,-1.0285714285714285,286,611,,-0.08666048136842996,0.07023304540737019,-0.2970588235294114,0.18181818181818188,-0.08611964260784588,-0.6500314292386029,0.3324131051830177,-1.5073529411764706,-0.06666666666666665,-0.48484848484848475,169,692,,0.1089864971670589,0.06545399561319531,-0.11616161616161635,0.29166666666666674,0.11363636363636354,-0.5790781090488877,0.29007597763120974,-1.1718750000000002,0.2398190045248868,-0.6047619047619051,52,315,1.1142857142857143,-0.4468189524887137,0.10243740757402613,-0.7321428571428572,0.033333333333333215,-0.46666666666666656,-1.0145717383117914,0.19156845457765928,-1.6643356643356644,-0.33333333333333326,-1.0476190476190477,169,377,,-0.4349203016315316,0.14585978354507287,-0.7321428571428572,0.25,-0.46666666666666656,-0.9934252078637107,0.23561159055482292,-1.700534759358289,0.0,-1.0476190476190477,184,407,,-0.42318890110652124,0.17341566341000209,-0.75,0.25,-0.4666666666666668,-0.976699571722455,0.264478782844812,-1.7222222222222223,0.0,-1.0476190476190477,199,437,,-0.40370273162615455,0.21012564369742273,-0.75,0.25,-0.466666666666667,-0.9542333365270991,0.3024293086030588,-1.7777777777777777,0.0,-1.0392156862745099,229,497,
